student_id,universities,countries,visa_status,activism_status,source_url
Se26dba19,Columbia University,Israel,True,True,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency"
Sed9f8f24,Harvard Medical School,France,True,False,https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html
Se987c4ab,Harvard Medical School,France,True,False,https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html
S936e5831,the University of Texas,Israel,True,True,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://www.insidehighered.com/news/global/international-students-us/2025/04/21/five-key-takeaways-tracking-student-visa, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://www.theguardian.com/us-news/2025/apr/10/how-many-student-visas-revoked, https://www.usatoday.com/story/graphics/2025/05/03/how-many-international-students-visas-revoked/83216625007/, https://www.insidehighered.com/news/global/international-students-us/2025/04/07/where-students-have-had-their-visas-revoked, https://eccunion.com/news/2025/04/23/international-students-f-1-visa-revoked-at-el-camino/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency, https://www.npr.org/2025/04/22/nx-s1-5366021/international-students-face-visa-cancellations-despite-no-criminal-records"
S7ad1fa85,Columbia University,Israel,True,True,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://www.insidehighered.com/news/global/international-students-us/2025/04/21/five-key-takeaways-tracking-student-visa, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://time.com/7284578/judge-orders-release-of-rumeysa-ozturk-tuft-student-detained-by-ice/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency"
S4ddfa9d2,Lafayette College,Israel,True,True,https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets
Sef2905cc,Columbia University,Israel,True,True,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/"
S8a3b2fde,Georgetown University,Israel,True,True,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://capitolnewsillinois.com/news/chilling-silence-waves-of-illinois-international-university-students-lose-their-visas/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency"
S5f99aee5,Tufts University,Israel,True,True,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://www.theguardian.com/us-news/2025/apr/10/how-many-student-visas-revoked"
S07952142,Columbia University,Israel,True,True,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://timesofindia.indiatimes.com/world/us/warning-shot-over-political-activism-by-foreign-students-on-us-campuses-after-chinese-scholars-visa-is-revoked/articleshow/118814657.cms"
S0833fbd3,Columbia University,Israel,True,True,https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/
S3f6c6464,Minnesota State University,Israel,True,True,https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/
S51db376b,Columbia University,Israel,True,True,"https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587"
Scead8db1,Georgetown’s School of Foreign Service,Israel,True,True,https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/
Sbf293430,Columbia University,India,True,True,"https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587"
S14a5887f,Columbia University,India,True,True,"https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587"
S22f0c1cd,the Migration Policy Institute,Israel,True,True,https://www.nbcnews.com/news/asian-america/international-students-revoked-visas-reasons-why-rcna200313
S4a109f49,Columbia Law School,Israel,True,True,https://www.nbcnews.com/news/asian-america/international-students-revoked-visas-reasons-why-rcna200313
S95f80660,the University of Alabama,Israel,True,False,https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587
S75a92d4a,the Mitchell Hamline School of Law,Somalia,True,True,https://sahanjournal.com/education/international-students-data-collection-ice-arrests/
S7fe65196,the University of Minnesota,Somalia,True,True,https://sahanjournal.com/education/international-students-data-collection-ice-arrests/
Sb93ed1d8,Tufts University,India,True,False,https://www.bbc.com/news/articles/c20xq5nd8jeo
Sb14516d8,the University Honors Program,China,True,False,https://capitolnewsillinois.com/news/chilling-silence-waves-of-illinois-international-university-students-lose-their-visas/
S329a30da,the University of Illinois College of Law,China,True,False,https://capitolnewsillinois.com/news/chilling-silence-waves-of-illinois-international-university-students-lose-their-visas/
S2fe62891,Columbia University,Israel,True,True,"https://time.com/7284578/judge-orders-release-of-rumeysa-ozturk-tuft-student-detained-by-ice/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency"
S93bcd5cb,Stanford University,India,True,True,https://abc7news.com/post/dept-homeland-security-revokes-visas-uc-berkeley-stanford-international-students-tied-past-activism/16136682/
S1b76038f,College Council,India,True,False,https://eccunion.com/news/2025/04/23/international-students-f-1-visa-revoked-at-el-camino/
S1e8a4ce8,the Foothill-De Anza Community College District,India,True,False,https://eccunion.com/news/2025/04/23/international-students-f-1-visa-revoked-at-el-camino/
S825a0465,College Council,India,True,False,https://eccunion.com/news/2025/04/23/international-students-f-1-visa-revoked-at-el-camino/
S8b96cd22,Columbia University,India,True,True,https://timesofindia.indiatimes.com/world/us/warning-shot-over-political-activism-by-foreign-students-on-us-campuses-after-chinese-scholars-visa-is-revoked/articleshow/118814657.cms
S2b024f49,Purdue University,Jordan,True,True,https://www.washingtonpost.com/nation/2024/05/03/international-students-campus-protest-visas/
S348e8848,Stanford University,Israel,True,True,https://www.washingtonpost.com/nation/2024/05/03/international-students-campus-protest-visas/
Sdc2a9c1c,Yale University,Israel,True,True,https://www.washingtonpost.com/nation/2024/05/03/international-students-campus-protest-visas/
S311f6aba,the Institute of Education,Mexico,True,False,https://haitiantimes.com/2025/05/11/haitian-students-visa-revocation-trump-crackdown/
S0a01e846,Wayne State University,Mexico,True,False,https://www.bigimmigrationlawblog.com/2025/04/the-new-risk-for-global-talent-f-1-sevis-terminations-and-student-visa-revocations/
